Ticker,sector
FB,0.0
GOOGL,0.0
GOOG,0.0
DIS,0.0
CMCSA,0.0
VZ,0.0
NFLX,0.0
T,0.0
CHTR,0.0
TMUS,0.0
ATVI,0.0
TWTR,0.0
ROKU,0.0
MTCH,0.0
EA,0.0
PINS,0.0
SPOT,0.0
LBRDK,0.0
VIAC,0.0
TTWO,0.0
Z,0.0
OMC,0.0
IPG,0.0
LUMN,0.0
FOXA,0.0
CABO,0.0
LYV,0.0
IAC,0.0
DISH,0.0
ZNGA,0.0
NWSA,0.0
FWONK,0.0
DISCK,0.0
NYT,0.0
LSXMK,0.0
ZG,0.0
ATUS,0.0
VMEO,0.0
NXST,0.0
SIRI,0.0
DISCA,0.0
FOX,0.0
LBRDA,0.0
LSXMA,0.0
SKLZ,0.0
TRIP,0.0
NWS,0.0
MSGS,0.0
WWE,0.0
PLTK,0.0
FWONA,0.0
VIACA,0.0
JNJ,1.0
UNH,1.0
PFE,1.0
LLY,1.0
TMO,1.0
ABT,1.0
ABBV,1.0
DHR,1.0
MRK,1.0
MDT,1.0
BMY,1.0
MRNA,1.0
AMGN,1.0
ISRG,1.0
CVS,1.0
ZTS,1.0
ANTM,1.0
SYK,1.0
GILD,1.0
CI,1.0
ILMN,1.0
BDX,1.0
EW,1.0
HCA,1.0
BSX,1.0
IDXX,1.0
REGN,1.0
ALGN,1.0
HUM,1.0
VRTX,1.0
BIIB,1.0
DXCM,1.0
IQV,1.0
A,1.0
VEEV,1.0
CNC,1.0
RMD,1.0
BAX,1.0
MTD,1.0
MCK,1.0
WST,1.0
ZBH,1.0
LH,1.0
CERN,1.0
WAT,1.0
HZNP,1.0
AVTR,1.0
TDOC,1.0
SGEN,1.0
ALNY,1.0
STE,1.0
PKI,1.0
CRL,1.0
COO,1.0
CTLT,1.0
HOLX,1.0
DGX,1.0
ABC,1.0
TECH,1.0
PODD,1.0
EXAS,1.0
TFX,1.0
CAH,1.0
VTRS,1.0
NVAX,1.0
ELAN,1.0
BIO,1.0
MOH,1.0
NVCR,1.0
TXG,1.0
ABMD,1.0
BMRN,1.0
INCY,1.0
MASI,1.0
RGEN,1.0
XRAY,1.0
QGEN,1.0
UHS,1.0
RPRX,1.0
HSIC,1.0
GH,1.0
DVA,1.0
NTRA,1.0
UTHR,1.0
JAZZ,1.0
SYNH,1.0
HRC,1.0
PEN,1.0
NBIX,1.0
BRKR,1.0
AMED,1.0
EHC,1.0
CHE,1.0
PPD,1.0
OGN,1.0
XLRN,1.0
OSH,1.0
NVST,1.0
GMED,1.0
TNDM,1.0
PRGO,1.0
MRTX,1.0
ACHC,1.0
IONS,1.0
RARE,1.0
QDEL,1.0
IART,1.0
CHNG,1.0
EXEL,1.0
SRPT,1.0
PINC,1.0
ICUI,1.0
ADPT,1.0
MRVI,1.0
IOVA,1.0
CVAC,1.0
NKTR,1.0
AGL,1.0
SAGE,1.0
SHC,1.0
SGFY,1.0
CERT,1.0
XOM,2.0
CVX,2.0
COP,2.0
EOG,2.0
SLB,2.0
MPC,2.0
KMI,2.0
PXD,2.0
PSX,2.0
WMB,2.0
VLO,2.0
OKE,2.0
OXY,2.0
LNG,2.0
HES,2.0
DVN,2.0
HAL,2.0
BKR,2.0
FANG,2.0
TRGP,2.0
TPL,2.0
MRO,2.0
APA,2.0
XEC,2.0
COG,2.0
NOV,2.0
EQT,2.0
HFC,2.0
DTM,2.0
AM,2.0
CLR,2.0
NFE,2.0
PG,3.0
KO,3.0
PEP,3.0
WMT,3.0
COST,3.0
PM,3.0
MO,3.0
MDLZ,3.0
EL,3.0
CL,3.0
KMB,3.0
STZ,3.0
GIS,3.0
SYY,3.0
MNST,3.0
WBA,3.0
ADM,3.0
KR,3.0
HSY,3.0
KHC,3.0
KDP,3.0
MKC,3.0
CLX,3.0
CHD,3.0
TSN,3.0
K,3.0
CAG,3.0
SJM,3.0
HRL,3.0
BFB,3.0
DAR,3.0
BG,3.0
LW,3.0
TAP,3.0
CPB,3.0
USFD,3.0
CASY,3.0
BYND,3.0
SAM,3.0
FRPT,3.0
INGR,3.0
POST,3.0
HLF,3.0
FLO,3.0
ACI,3.0
SPB,3.0
HAIN,3.0
BFA,3.0
GO,3.0
COTY,3.0
REYN,3.0
SEB,3.0
PPC,3.0
AAPL,4.0
MSFT,4.0
NVDA,4.0
V,4.0
PYPL,4.0
MA,4.0
ADBE,4.0
CSCO,4.0
CRM,4.0
INTC,4.0
ACN,4.0
AVGO,4.0
TXN,4.0
QCOM,4.0
ORCL,4.0
AMD,4.0
INTU,4.0
AMAT,4.0
IBM,4.0
NOW,4.0
SQ,4.0
LRCX,4.0
MU,4.0
ADP,4.0
ZM,4.0
FIS,4.0
ADSK,4.0
FISV,4.0
ADI,4.0
TWLO,4.0
NXPI,4.0
DOCU,4.0
KLAC,4.0
MRVL,4.0
GPN,4.0
TEAM,4.0
SNPS,4.0
APH,4.0
WDAY,4.0
CRWD,4.0
CDNS,4.0
FTNT,4.0
CTSH,4.0
PANW,4.0
TTD,4.0
MSI,4.0
MCHP,4.0
PAYX,4.0
HPQ,4.0
PLTR,4.0
XLNX,4.0
SNOW,4.0
ANSS,4.0
GLW,4.0
KEYS,4.0
OKTA,4.0
SWKS,4.0
EPAM,4.0
NET,4.0
ZBRA,4.0
MXIM,4.0
DELL,4.0
HUBS,4.0
CDW,4.0
DDOG,4.0
ENPH,4.0
IT,4.0
SPLK,4.0
ANET,4.0
PAYC,4.0
QRVO,4.0
TRMB,4.0
VRSN,4.0
TER,4.0
MPWR,4.0
RNG,4.0
BR,4.0
FLT,4.0
TYL,4.0
WDC,4.0
ON,4.0
MDB,4.0
ZS,4.0
HPE,4.0
AKAM,4.0
NTAP,4.0
SSNC,4.0
ENTG,4.0
U,4.0
COUP,4.0
BILL,4.0
WIX,4.0
CGNX,4.0
NUAN,4.0
ZEN,4.0
PTC,4.0
AVLR,4.0
FIVN,4.0
GDDY,4.0
FICO,4.0
NLOK,4.0
CDAY,4.0
JKHY,4.0
VMW,4.0
STNE,4.0
FFIV,4.0
BKI,4.0
CTXS,4.0
DT,4.0
CREE,4.0
DXC,4.0
MANH,4.0
ESTC,4.0
OLED,4.0
AZPN,4.0
FSLR,4.0
DOX,4.0
PFPT,4.0
DBX,4.0
GWRE,4.0
GLOB,4.0
CIEN,4.0
JNPR,4.0
SMAR,4.0
MKSI,4.0
G,4.0
ARW,4.0
WU,4.0
JBL,4.0
PLAN,4.0
BSY,4.0
PCTY,4.0
WEX,4.0
NTNX,4.0
CNXC,4.0
IPGP,4.0
LFUS,4.0
BRKS,4.0
EEFT,4.0
LITE,4.0
DLB,4.0
NATI,4.0
COHR,4.0
PSTG,4.0
CDK,4.0
TDC,4.0
EVBG,4.0
VNT,4.0
PEGA,4.0
SNX,4.0
FEYE,4.0
NCR,4.0
FSLY,4.0
CRUS,4.0
AVT,4.0
NEWR,4.0
ADS,4.0
COMM,4.0
AYX,4.0
FOUR,4.0
MDLA,4.0
SABR,4.0
XRX,4.0
NCNO,4.0
PSFE,4.0
DCT,4.0
VSAT,4.0
SWCH,4.0
UI,4.0
JAMF,4.0
ALGM,4.0
MCFE,4.0
AI,4.0
SWI,4.0
MSP,4.0
NABL,4.0
DV,4.0
SHW,5.0
APD,5.0
ECL,5.0
FCX,5.0
NEM,5.0
DOW,5.0
DD,5.0
PPG,5.0
IFF,5.0
NUE,5.0
CTVA,5.0
LYB,5.0
BLL,5.0
ALB,5.0
VMC,5.0
MLM,5.0
IP,5.0
AMCR,5.0
AVY,5.0
CE,5.0
EMN,5.0
PKG,5.0
WRK,5.0
CCK,5.0
FMC,5.0
STLD,5.0
CLF,5.0
RPM,5.0
MOS,5.0
CF,5.0
RS,5.0
ATR,5.0
SEE,5.0
BERY,5.0
RGLD,5.0
AA,5.0
X,5.0
SMG,5.0
AXTA,5.0
OLN,5.0
SON,5.0
EXP,5.0
LPX,5.0
SCCO,5.0
GPK,5.0
HUN,5.0
VVV,5.0
ESI,5.0
CC,5.0
ASH,5.0
GRA,5.0
SLGN,5.0
WLK,5.0
NEU,5.0
DSEY,5.0
ARD,5.0
NEE,6.0
DUK,6.0
SO,6.0
D,6.0
EXC,6.0
AEP,6.0
SRE,6.0
XEL,6.0
AWK,6.0
PEG,6.0
ES,6.0
WEC,6.0
ED,6.0
DTE,6.0
PPL,6.0
AEE,6.0
ETR,6.0
FE,6.0
EIX,6.0
CMS,6.0
AES,6.0
EVRG,6.0
CNP,6.0
LNT,6.0
PCG,6.0
ATO,6.0
WTRG,6.0
NRG,6.0
NI,6.0
UGI,6.0
VST,6.0
PNW,6.0
OGE,6.0
MDU,6.0
IDA,6.0
BEPC,6.0
HE,6.0
NFG,6.0
AGR,6.0
AMT,7.0
PLD,7.0
CCI,7.0
EQIX,7.0
PSA,7.0
DLR,7.0
SPG,7.0
SBAC,7.0
WELL,7.0
CBRE,7.0
AVB,7.0
EQR,7.0
ARE,7.0
O,7.0
WY,7.0
EXR,7.0
INVH,7.0
VTR,7.0
SUI,7.0
MAA,7.0
ESS,7.0
PEAK,7.0
DRE,7.0
BXP,7.0
UDR,7.0
VICI,7.0
WPC,7.0
ELS,7.0
CPT,7.0
JLL,7.0
IRM,7.0
KIM,7.0
AMH,7.0
MPW,7.0
VER,7.0
GLPI,7.0
REG,7.0
HST,7.0
CUBE,7.0
COLD,7.0
LSI,7.0
LAMR,7.0
CONE,7.0
STOR,7.0
REXR,7.0
FRT,7.0
OHI,7.0
NNN,7.0
AIRC,7.0
KRC,7.0
VNO,7.0
FR,7.0
BRX,7.0
ACC,7.0
CUZ,7.0
COR,7.0
HTA,7.0
SRC,7.0
DEI,7.0
SLG,7.0
OPEN,7.0
RYN,7.0
HIW,7.0
PK,7.0
JBGS,7.0
HHC,7.0
HPP,7.0
EPR,7.0
XTSLA,8.0
USD,8.0
UBFUT,8.0
FAU1,8.0
ESU1,8.0
AMZN,9.0
TSLA,9.0
HD,9.0
NKE,9.0
MCD,9.0
SBUX,9.0
LOW,9.0
TGT,9.0
BKNG,9.0
TJX,9.0
GM,9.0
DG,9.0
CMG,9.0
F,9.0
LULU,9.0
EBAY,9.0
APTV,9.0
ORLY,9.0
ROST,9.0
YUM,9.0
MAR,9.0
AZO,9.0
HLT,9.0
PTON,9.0
DHI,9.0
LEN,9.0
BBY,9.0
YUMC,9.0
ETSY,9.0
VFC,9.0
CVNA,9.0
GRMN,9.0
DLTR,9.0
BURL,9.0
KMX,9.0
EXPE,9.0
TSCO,9.0
DPZ,9.0
W,9.0
DRI,9.0
POOL,9.0
ULTA,9.0
CCL,9.0
GPC,9.0
NVR,9.0
CZR,9.0
RCL,9.0
MGM,9.0
DASH,9.0
DKNG,9.0
BBWI,9.0
LKQ,9.0
PHM,9.0
AAP,9.0
WHR,9.0
FND,9.0
LVS,9.0
CHGG,9.0
HAS,9.0
DECK,9.0
MTN,9.0
TPR,9.0
WSM,9.0
RH,9.0
MHK,9.0
BWA,9.0
FIVE,9.0
PENN,9.0
LAD,9.0
SCI,9.0
LEA,9.0
NWL,9.0
WYNN,9.0
CPRI,9.0
BFAM,9.0
YETI,9.0
GME,9.0
NCLH,9.0
ARMK,9.0
BC,9.0
PII,9.0
PVH,9.0
GNTX,9.0
TPX,9.0
KSS,9.0
MAT,9.0
BLD,9.0
SKX,9.0
TOL,9.0
CHDN,9.0
LEG,9.0
TMX,9.0
DKS,9.0
HBI,9.0
WH,9.0
HOG,9.0
RL,9.0
PLNT,9.0
AN,9.0
THO,9.0
OLLI,9.0
VAC,9.0
GPS,9.0
FL,9.0
HRB,9.0
BYD,9.0
CRI,9.0
FTDR,9.0
VSCO,9.0
UAA,9.0
UA,9.0
VRM,9.0
LOPE,9.0
TNL,9.0
QRTEA,9.0
COLM,9.0
WEN,9.0
CHH,9.0
JWN,9.0
SIX,9.0
H,9.0
LESL,9.0
PAG,9.0
QS,9.0
WOOF,9.0
LENB,9.0
HAYW,9.0
BRKB,10.0
JPM,10.0
BAC,10.0
WFC,10.0
C,10.0
MS,10.0
BLK,10.0
GS,10.0
AXP,10.0
SCHW,10.0
SPGI,10.0
BX,10.0
PNC,10.0
CB,10.0
MMC,10.0
CME,10.0
USB,10.0
TFC,10.0
COF,10.0
ICE,10.0
MCO,10.0
AON,10.0
PGR,10.0
MSCI,10.0
TROW,10.0
MET,10.0
BK,10.0
AIG,10.0
PRU,10.0
ALL,10.0
DFS,10.0
TRV,10.0
AFL,10.0
KKR,10.0
FRC,10.0
SIVB,10.0
STT,10.0
AMP,10.0
AJG,10.0
SYF,10.0
WLTW,10.0
FITB,10.0
NTRS,10.0
HIG,10.0
NDAQ,10.0
HBAN,10.0
KEY,10.0
ALLY,10.0
MKTX,10.0
RF,10.0
CFG,10.0
CINF,10.0
MTB,10.0
PFG,10.0
MKL,10.0
RJF,10.0
ACGL,10.0
FDS,10.0
CBOE,10.0
SBNY,10.0
BRO,10.0
FNF,10.0
L,10.0
EQH,10.0
LNC,10.0
NLY,10.0
LPLA,10.0
APO,10.0
RE,10.0
ARES,10.0
EWBC,10.0
WRB,10.0
CMA,10.0
WAL,10.0
GL,10.0
TW,10.0
BEN,10.0
AIZ,10.0
AFG,10.0
Y,10.0
ZION,10.0
FHN,10.0
AGNC,10.0
IVZ,10.0
CG,10.0
RGA,10.0
VOYA,10.0
ATH,10.0
RNR,10.0
JEF,10.0
PNFP,10.0
FAF,10.0
CBSH,10.0
STWD,10.0
ORI,10.0
AMG,10.0
PBCT,10.0
SF,10.0
CFR,10.0
SEIC,10.0
PB,10.0
SNV,10.0
BPOP,10.0
MORN,10.0
SLM,10.0
OMF,10.0
PRI,10.0
CACC,10.0
LAZ,10.0
NYCB,10.0
UNM,10.0
OZK,10.0
IBKR,10.0
ERIE,10.0
EVR,10.0
FCNCA,10.0
THG,10.0
WBS,10.0
PACW,10.0
MTG,10.0
WTFC,10.0
NRZ,10.0
